date,open,close,high,low,volume,amount
2021-07-26,1684.08,1609.19,1684.08,1585.08,98619,17894360832.0
2021-07-27,1608.08,1517.97,1615.08,1508.08,86577,15230805760.0
2021-07-28,1508.08,1573.98,1593.28,1487.2,85369,14792471040.0
2021-07-29,1615.09,1554.87,1628.08,1539.42,63864,11299569920.0
2021-07-30,1530.08,1484.07,1530.08,1462.84,77736,13109724928.0
2021-08-02,1469.08,1560.08,1561.06,1425.8,97401,16515259136.0
2021-08-03,1535.08,1554.38,1574.07,1493.88,54375,9447823360.0
2021-08-04,1539.14,1529.08,1565.08,1523.08,38175,6614683392.0
2021-08-05,1497.96,1504.08,1550.08,1481.44,48060,8177369856.0
2021-08-06,1494.08,1476.08,1499.09,1451.68,45686,7616109568.0
2021-08-09,1456.08,1498.88,1514.08,1455.08,47698,8028155392.0
2021-08-10,1505.08,1604.08,1607.96,1480.08,83285,14549496576.0
2021-08-11,1585.09,1555.58,1590.09,1555.09,38663,6821292800.0
2021-08-12,1537.08,1495.08,1554.08,1491.27,47551,8130692608.0
2021-08-13,1495.08,1505.12,1518.08,1484.08,37905,6418412544.0
2021-08-16,1501.08,1504.28,1518.68,1490.16,28057,4773049856.0
2021-08-17,1505.08,1440.08,1505.08,1433.96,61201,10140292096.0
2021-08-18,1429.74,1425.08,1448.07,1405.08,59970,9701556224.0
2021-08-19,1427.3,1425.05,1448.28,1405.08,41292,6682355712.0
2021-08-20,1360.25,1353.08,1402.63,1330.58,114545,17825198336.0
2021-08-23,1342.96,1375.27,1404.08,1341.85,71597,11218832896.0
2021-08-24,1380.08,1430.26,1447.63,1370.85,72594,11703813888.0
2021-08-25,1452.72,1470.1,1485.95,1448.08,54239,9037626368.0
2021-08-26,1470.07,1400.08,1470.07,1399.8,54020,8722233088.0
2021-08-27,1394.08,1401.11,1430.08,1389.18,36095,5791426304.0
2021-08-30,1410.08,1391.08,1418.08,1351.03,51588,8098190336.0
2021-08-31,1394.88,1363.08,1421.43,1360.18,43677,6888080896.0
2021-09-01,1364.08,1427.09,1440.07,1336.18,77316,12370243328.0
2021-09-02,1438.07,1423.88,1448.08,1405.97,42837,6939707392.0
2021-09-03,1415.1,1463.3,1464.87,1387.08,52835,8631165696.0
2021-09-06,1454.08,1475.75,1513.24,1431.23,55338,9306030592.0
2021-09-07,1466.11,1474.08,1489.56,1456.08,31211,5204051712.0
2021-09-08,1465.08,1438.18,1476.26,1433.16,33064,5428265728.0
2021-09-09,1431.08,1439.16,1450.08,1429.09,19950,3257785760.0
2021-09-10,1439.16,1467.66,1473.88,1438.08,33388,5528034048.0
2021-09-13,1470.08,1459.08,1489.08,1445.18,27720,4605031680.0
2021-09-14,1464.08,1462.08,1488.08,1458.08,33761,5638962688.0
2021-09-15,1455.08,1420.82,1465.08,1415.08,41570,6781755392.0
2021-09-16,1408.08,1443.15,1449.08,1390.08,45968,7458455040.0
2021-09-17,1425.08,1491.08,1510.68,1425.08,55130,9242101504.0
2021-09-22,1463.91,1442.77,1493.08,1440.08,31743,5227723008.0
2021-09-23,1443.08,1440.08,1460.96,1430.16,30342,4964210176.0
2021-09-24,1433.08,1499.08,1525.06,1433.08,69537,11756596224.0
